id,scenario_id,line_number,is_prompter,prompter_text,user_text,phase_context,prompter_callsign,user_callsign
17,3,3,1,"0, Roger Out",,"0 wants to know the status of your unit. You are at grid 1657 1132. Your unit has had several contacts with the enemy and has exhausted its ammunition supply, and a lot of equipment has been damaged or destroyed. You can not continue without more ammo and to replace and repair the equipment",0,
18,4,1,1,Alpha-1 this is Alpha-1echo send metrep over ,,"NOTE THIS WILL BE A LONG MESSAGE, You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",A1E,
19,4,2,0,,Alpha-1 echo this is alpha 1 long message metrep over ,"NOTE THIS WILL BE A LONG MESSAGE, You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",,A1
20,4,3,1,Alpha -1 echo send over ,,"You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",A1E,
21,4,4,0,,"Para Alpha: CFB Downrange.

Para Bravo: Next 24 hours:

Sub Para Alpha: Precipitation PoP 32%.
Sub Para Bravo: Wind from NW at 25-30 kph.
Sub Para Charlie: High of +4°C, low of -11°C.
Para Charlie: Next 24 hours:

Sub Para Alpha: 0 mm, PoP 30%.
Sub Para Bravo: Wind from North at 20-30 kph.
Sub Para Charlie: High of -8°C, low of -20°C.
Para Delta: Temperature continues to drop.

Para Echo:

Alpha: 0830
Bravo: 1940
Charlie: New moon
Delta: 2000
Echo: 0500
Over.","You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",,A1
22,4,5,1,Alpha-1 echo say again all after para Delta over ,,"You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",A1E,
23,4,6,0,,"Alpha 1, I say again: Para Delta, Alpha 0830, Bravo 1940, Charlie new moon, Delta 2000, Echo 0500, over.","You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",,A1
24,4,7,1,Alpha-1 echo roger over ,,"You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",A1E,
25,4,8,0,;,"Alpha-1, Rogger out.","You call up Environment Canada, and they tell you that for CFB Downrange , over the next 24 hours, there has been no precipitation and the probability of precipitation (PoP) is 32%. The current temperature is 4°C but is expected to fall to a low of - 11°C. Winds are from the NW at 25 kph but are expected to increase to 30 kph and swing to the north. First light is at 8:30 AM and last light is at 7:40 PM. Moon phase is New Moon, rise at 10 PM and set at 5:00 AM. The extended forecast is for temperatures to continue to fall tomorrow, with a high of - 10°C and a low of - 25°C, with winds from 20 to 30 kph and a PoP of 30%. The day after, the temperature will have a high of -8°C and a low of -20°C with a PoP of 30%.",,A1
26,5,1,0,,"Zero, this is 2 Bravo - MIST report Over.",,,2B
27,5,2,1,2 Bravo this is Zero. Send MIST. Over.,,,0,
28,5,3,0,,"M: Vehicle struck IED at 38S LA 4532 7891, passenger side impact
I: One casualty, 25-year-old male with lower right leg trauma and facial lacerations
S: Patient conscious, BP 100/70, pulse 110, respirations 22, GCS 15
T: Tourniquet applied to right leg, hemorrhage controlled, wound dressed, 500ml Ringer's initiated, morphine 10mg administered Over.",,,2B
29,5,4,1,"2 Bravo, this is Zero. MIST received. Surgical team will be notified. Over.",,,0,
30,5,5,0,,"Zero, this is 2 Bravo. Roger, out","Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",,2B
31,5,6,1,"2 Bravo, this is Zero. MIST received. Prepare 9-liner for immediate MEDEVAC. Over.",,"Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",0,
32,5,7,0,,"Zero, this is 2 Bravo. 9-liner  over","Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",,2B
33,5,8,1,"2 Bravo, this is Zero. Send 9-Liner. Over.",,"Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",0,
34,5,9,0,,"Line 1: Grid 38S LA 4532 7891
Line 2: LZ Whiskey, freq 68.5, call sign Dagger
Line 3: 1 urgent, 3 priority
Line 4: Special equipment: None
Line 5: 4 litter
Line 6: Security at LZ: Green
Line 7: Marking: Orange smoke
Line 8: Patient nationality: US military
Line 9: NBC: None","Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",,2B
35,5,10,1,"2 Bravo, this is Zero. 9-line received. MEDEVAC inbound, ETA 18 minutes. Maintain security. Over.",,"Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",0,
36,5,11,0,,"Zero, this is 2 Bravo. Roger, out.","Bravo 2 patrol's lead HMMWV struck pressure-plate IED at grid 38S LA 4532 7891 at 0743L/0443Z on 15MAR. Vehicle rolled after 1.5m lift. Four casualties total - front passenger (SGT Miller) critical with traumatic right leg amputation below knee, facial lacerations from fragmentation, and suspected pneumothorax. Patient conscious but in shock - BP 90/60 dropping, pulse 125 and thready, respirations 28 and labored, O2 sat 92%, GCS 14 (E4V4M6). Combat medic applied CAT tourniquet to right leg, needle decompression left chest, established 18G IV with 2x 500ml Ringer's wide open, administered 10mg morphine and 1g TXA. ",,2B
37,6,1,1,"5 Lima, this is Zero. Request AMMOCAZ status. Over.",,"You are Lima 5 weapons squad, 1st Platoon, C Company at COP IRON. After a 35-minute firefight yesterday where you expended significant 7.62mm ammunition from your M240Bs, multiple 60mm mortar rounds, and numerous smoke grenades, your platoon leader has ordered an AMMOCAZ report. You must request resupply before tomorrow's convoy arrival (callsign BRAVO) to prepare for an operation in 36 hours. You've counted all ammunition 30 minutes ago and identified critical shortages in 7.62mm, 60mm HE, and smoke grenades.",0,
38,6,2,0,,"Zero, this is 5 Lima. AMMOCAZ follows. Over.","You are Lima 5 weapons squad, 1st Platoon, C Company at COP IRON. After a 35-minute firefight yesterday where you expended significant 7.62mm ammunition from your M240Bs, multiple 60mm mortar rounds, and numerous smoke grenades, your platoon leader has ordered an AMMOCAZ report. You must request resupply before tomorrow's convoy arrival (callsign BRAVO) to prepare for an operation in 36 hours. You've counted all ammunition 30 minutes ago and identified critical shortages in 7.62mm, 60mm HE, and smoke grenades.",,5L
39,6,3,0,,"PARA ALPHA: DTG -- 231730Z MAR 25
PARA BRAVO: UNIT -- Lima 5, 1st Platoon, C Company
PARA CHARLIE: LOCATION -- 38S NB 4522 6133, COP IRON
PARA DELTA: SMALL ARMS -- 5.56mm (4200 rounds), 7.62mm (1500 rounds), 9mm (800 rounds)
PARA ECHO: CREW SERVED -- .50 cal (2000 rounds), 40mm HEDP (120 rounds), 40mm CS (24 rounds)
PARA FOXTROT: HAND GRENADES -- Frag (32), Smoke (22), CS (12)
PARA GOLF: DEMOLITIONS -- C4 (20kg), Blasting caps (40), Det cord (80m)
PARA HOTEL: MORTARS -- 60mm HE (48), 60mm Illum (24)
PARA INDIA: AT WEAPONS -- AT4 (6), SMAW (3 HEDP, 2 Thermobaric)
PARA JULIET: CRITICAL SHORTAGES -- 7.62mm, 60mm HE, smoke grenades
PARA Killo: RESUPPLY REQUESTED -- 7.62mm (3000 rounds), 60mm HE (36), smoke grenades (30)
PARA Lima: CACHE RECOVERY -- None this period. Over.","You are Lima 5 weapons squad, 1st Platoon, C Company at COP IRON. After a 35-minute firefight yesterday where you expended significant 7.62mm ammunition from your M240Bs, multiple 60mm mortar rounds, and numerous smoke grenades, your platoon leader has ordered an AMMOCAZ report. You must request resupply before tomorrow's convoy arrival (callsign BRAVO) to prepare for an operation in 36 hours. You've counted all ammunition 30 minutes ago and identified critical shortages in 7.62mm, 60mm HE, and smoke grenades.",,5L
40,6,4,1,"5 Lima, this is Zero. AMMOCAZ received. Resupply approved, ETA 240930Z via convoy BRAVO. Over.",,"You are Lima 5 weapons squad, 1st Platoon, C Company at COP IRON. After a 35-minute firefight yesterday where you expended significant 7.62mm ammunition from your M240Bs, multiple 60mm mortar rounds, and numerous smoke grenades, your platoon leader has ordered an AMMOCAZ report. You must request resupply before tomorrow's convoy arrival (callsign BRAVO) to prepare for an operation in 36 hours. You've counted all ammunition 30 minutes ago and identified critical shortages in 7.62mm, 60mm HE, and smoke grenades.",0,
41,6,5,0,,"Zero, this is 5 Lima. Roger. Out.","You are Lima 5 weapons squad, 1st Platoon, C Company at COP IRON. After a 35-minute firefight yesterday where you expended significant 7.62mm ammunition from your M240Bs, multiple 60mm mortar rounds, and numerous smoke grenades, your platoon leader has ordered an AMMOCAZ report. You must request resupply before tomorrow's convoy arrival (callsign BRAVO) to prepare for an operation in 36 hours. You've counted all ammunition 30 minutes ago and identified critical shortages in 7.62mm, 60mm HE, and smoke grenades.",,5L
